output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap degree_day_factor
code__a__519 1 0.5 1 0.75 0.5
code__a__520 1 0.5 1 0.75 1
code__a__521 1 0.5 1 0.75 1.5
code__a__522 1 0.5 1 1.25 0.5
code__a__523 1 0.5 1 1.25 1
code__a__524 1 0.5 1 1.25 1.5
code__a__525 1.5 -0.5 -1 0.75 0.5
code__a__526 1.5 -0.5 -1 0.75 1
code__a__527 1.5 -0.5 -1 0.75 1.5
code__a__528 1.5 -0.5 -1 1.25 0.5
code__a__529 1.5 -0.5 -1 1.25 1
code__a__530 1.5 -0.5 -1 1.25 1.5
code__a__531 1.5 -0.5 -0.5 0.75 0.5
code__a__532 1.5 -0.5 -0.5 0.75 1
code__a__533 1.5 -0.5 -0.5 0.75 1.5
code__a__534 1.5 -0.5 -0.5 1.25 0.5
code__a__535 1.5 -0.5 -0.5 1.25 1
code__a__536 1.5 -0.5 -0.5 1.25 1.5
code__a__537 1.5 -0.5 0 0.75 0.5
code__a__538 1.5 -0.5 0 0.75 1
code__a__539 1.5 -0.5 0 0.75 1.5
code__a__540 1.5 -0.5 0 1.25 0.5
code__a__541 1.5 -0.5 0 1.25 1
code__a__542 1.5 -0.5 0 1.25 1.5
code__a__543 1.5 -0.5 0.5 0.75 0.5
code__a__544 1.5 -0.5 0.5 0.75 1
code__a__545 1.5 -0.5 0.5 0.75 1.5
code__a__546 1.5 -0.5 0.5 1.25 0.5
code__a__547 1.5 -0.5 0.5 1.25 1
code__a__548 1.5 -0.5 0.5 1.25 1.5
code__a__549 1.5 -0.5 1 0.75 0.5
code__a__550 1.5 -0.5 1 0.75 1
code__a__551 1.5 -0.5 1 0.75 1.5
code__a__552 1.5 -0.5 1 1.25 0.5
code__a__553 1.5 -0.5 1 1.25 1
code__a__554 1.5 -0.5 1 1.25 1.5
code__a__555 1.5 -0.25 -1 0.75 0.5
code__a__556 1.5 -0.25 -1 0.75 1
code__a__557 1.5 -0.25 -1 0.75 1.5
code__a__558 1.5 -0.25 -1 1.25 0.5
code__a__559 1.5 -0.25 -1 1.25 1
code__a__560 1.5 -0.25 -1 1.25 1.5
code__a__561 1.5 -0.25 -0.5 0.75 0.5
code__a__562 1.5 -0.25 -0.5 0.75 1
code__a__563 1.5 -0.25 -0.5 0.75 1.5
code__a__564 1.5 -0.25 -0.5 1.25 0.5
code__a__565 1.5 -0.25 -0.5 1.25 1
code__a__566 1.5 -0.25 -0.5 1.25 1.5
code__a__567 1.5 -0.25 0 0.75 0.5
code__a__568 1.5 -0.25 0 0.75 1
code__a__569 1.5 -0.25 0 0.75 1.5
code__a__570 1.5 -0.25 0 1.25 0.5
code__a__571 1.5 -0.25 0 1.25 1
code__a__572 1.5 -0.25 0 1.25 1.5
code__a__573 1.5 -0.25 0.5 0.75 0.5
code__a__574 1.5 -0.25 0.5 0.75 1
code__a__575 1.5 -0.25 0.5 0.75 1.5
code__a__576 1.5 -0.25 0.5 1.25 0.5
code__a__577 1.5 -0.25 0.5 1.25 1
code__a__578 1.5 -0.25 0.5 1.25 1.5
code__a__579 1.5 -0.25 1 0.75 0.5
code__a__580 1.5 -0.25 1 0.75 1
code__a__581 1.5 -0.25 1 0.75 1.5
code__a__582 1.5 -0.25 1 1.25 0.5
code__a__583 1.5 -0.25 1 1.25 1
code__a__584 1.5 -0.25 1 1.25 1.5
code__a__585 1.5 0 -1 0.75 0.5
code__a__586 1.5 0 -1 0.75 1
code__a__587 1.5 0 -1 0.75 1.5
code__a__588 1.5 0 -1 1.25 0.5
code__a__589 1.5 0 -1 1.25 1
code__a__590 1.5 0 -1 1.25 1.5
code__a__591 1.5 0 -0.5 0.75 0.5
code__a__592 1.5 0 -0.5 0.75 1
code__a__593 1.5 0 -0.5 0.75 1.5
code__a__594 1.5 0 -0.5 1.25 0.5
code__a__595 1.5 0 -0.5 1.25 1
code__a__596 1.5 0 -0.5 1.25 1.5
code__a__597 1.5 0 0 0.75 0.5
code__a__598 1.5 0 0 0.75 1
code__a__599 1.5 0 0 0.75 1.5
code__a__600 1.5 0 0 1.25 0.5
code__a__601 1.5 0 0 1.25 1
code__a__602 1.5 0 0 1.25 1.5
code__a__603 1.5 0 0.5 0.75 0.5
code__a__604 1.5 0 0.5 0.75 1
code__a__605 1.5 0 0.5 0.75 1.5
code__a__606 1.5 0 0.5 1.25 0.5
code__a__607 1.5 0 0.5 1.25 1
code__a__608 1.5 0 0.5 1.25 1.5
code__a__609 1.5 0 1 0.75 0.5
code__a__610 1.5 0 1 0.75 1
code__a__611 1.5 0 1 0.75 1.5
code__a__612 1.5 0 1 1.25 0.5
code__a__613 1.5 0 1 1.25 1
code__a__614 1.5 0 1 1.25 1.5
code__a__615 1.5 0.25 -1 0.75 0.5
code__a__616 1.5 0.25 -1 0.75 1
code__a__617 1.5 0.25 -1 0.75 1.5
code__a__618 1.5 0.25 -1 1.25 0.5
code__a__619 1.5 0.25 -1 1.25 1
code__a__620 1.5 0.25 -1 1.25 1.5
code__a__621 1.5 0.25 -0.5 0.75 0.5
code__a__622 1.5 0.25 -0.5 0.75 1
