output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__873 1 -0.25 0.5 0.625
code__a__874 1 -0.25 1 0.625
code__a__875 1 0 -1 0.625
code__a__876 1 0 -0.5 0.625
code__a__877 1 0 0 0.625
code__a__878 1 0 0.5 0.625
code__a__879 1 0 1 0.625
code__a__880 1 0.25 -1 0.625
code__a__881 1 0.25 -0.5 0.625
code__a__882 1 0.25 0 0.625
code__a__883 1 0.25 0.5 0.625
code__a__884 1 0.25 1 0.625
code__a__885 1 0.5 -1 0.625
code__a__886 1 0.5 -0.5 0.625
code__a__887 1 0.5 0 0.625
code__a__888 1 0.5 0.5 0.625
code__a__889 1 0.5 1 0.625
code__a__890 1 0.75 -1 0.625
code__a__891 1 0.75 -0.5 0.625
code__a__892 1 0.75 0 0.625
code__a__893 1 0.75 0.5 0.625
code__a__894 1 0.75 1 0.625
code__a__895 1 1 -1 0.625
code__a__896 1 1 -0.5 0.625
code__a__897 1 1 0 0.625
code__a__898 1 1 0.5 0.625
code__a__899 1 1 1 0.625
code__a__900 1 -1 -1 0.875
code__a__901 1 -1 -0.5 0.875
code__a__902 1 -1 0 0.875
code__a__903 1 -1 0.5 0.875
code__a__904 1 -1 1 0.875
code__a__905 1 -0.75 -1 0.875
code__a__906 1 -0.75 -0.5 0.875
code__a__907 1 -0.75 0 0.875
code__a__908 1 -0.75 0.5 0.875
code__a__909 1 -0.75 1 0.875
code__a__910 1 -0.5 -1 0.875
code__a__911 1 -0.5 -0.5 0.875
code__a__912 1 -0.5 0 0.875
code__a__913 1 -0.5 0.5 0.875
code__a__914 1 -0.5 1 0.875
code__a__915 1 -0.25 -1 0.875
code__a__916 1 -0.25 -0.5 0.875
code__a__917 1 -0.25 0 0.875
code__a__918 1 -0.25 0.5 0.875
code__a__919 1 -0.25 1 0.875
code__a__920 1 0 -1 0.875
code__a__921 1 0 -0.5 0.875
code__a__922 1 0 0 0.875
code__a__923 1 0 0.5 0.875
code__a__924 1 0 1 0.875
code__a__925 1 0.25 -1 0.875
code__a__926 1 0.25 -0.5 0.875
code__a__927 1 0.25 0 0.875
code__a__928 1 0.25 0.5 0.875
code__a__929 1 0.25 1 0.875
code__a__930 1 0.5 -1 0.875
code__a__931 1 0.5 -0.5 0.875
code__a__932 1 0.5 0 0.875
code__a__933 1 0.5 0.5 0.875
code__a__934 1 0.5 1 0.875
code__a__935 1 0.75 -1 0.875
code__a__936 1 0.75 -0.5 0.875
code__a__937 1 0.75 0 0.875
code__a__938 1 0.75 0.5 0.875
code__a__939 1 0.75 1 0.875
code__a__940 1 1 -1 0.875
code__a__941 1 1 -0.5 0.875
code__a__942 1 1 0 0.875
code__a__943 1 1 0.5 0.875
code__a__944 1 1 1 0.875
code__a__945 1 -1 -1 1.125
code__a__946 1 -1 -0.5 1.125
code__a__947 1 -1 0 1.125
code__a__948 1 -1 0.5 1.125
code__a__949 1 -1 1 1.125
code__a__950 1 -0.75 -1 1.125
code__a__951 1 -0.75 -0.5 1.125
code__a__952 1 -0.75 0 1.125
code__a__953 1 -0.75 0.5 1.125
code__a__954 1 -0.75 1 1.125
code__a__955 1 -0.5 -1 1.125
code__a__956 1 -0.5 -0.5 1.125
code__a__957 1 -0.5 0 1.125
code__a__958 1 -0.5 0.5 1.125
code__a__959 1 -0.5 1 1.125
code__a__960 1 -0.25 -1 1.125
code__a__961 1 -0.25 -0.5 1.125
code__a__962 1 -0.25 0 1.125
code__a__963 1 -0.25 0.5 1.125
code__a__964 1 -0.25 1 1.125
code__a__965 1 0 -1 1.125
code__a__966 1 0 -0.5 1.125
code__a__967 1 0 0 1.125
code__a__968 1 0 0.5 1.125
code__a__969 1 0 1 1.125
code__a__970 1 0.25 -1 1.125
code__a__971 1 0.25 -0.5 1.125
code__a__972 1 0.25 0 1.125
code__a__973 1 0.25 0.5 1.125
code__a__974 1 0.25 1 1.125
code__a__975 1 0.5 -1 1.125
code__a__976 1 0.5 -0.5 1.125
code__a__977 1 0.5 0 1.125
code__a__978 1 0.5 0.5 1.125
code__a__979 1 0.5 1 1.125
code__a__980 1 0.75 -1 1.125
code__a__981 1 0.75 -0.5 1.125
code__a__982 1 0.75 0 1.125
code__a__983 1 0.75 0.5 1.125
code__a__984 1 0.75 1 1.125
code__a__985 1 1 -1 1.125
code__a__986 1 1 -0.5 1.125
code__a__987 1 1 0 1.125
code__a__988 1 1 0.5 1.125
code__a__989 1 1 1 1.125
code__a__990 1 -1 -1 1.375
code__a__991 1 -1 -0.5 1.375
code__a__992 1 -1 0 1.375
code__a__993 1 -1 0.5 1.375
code__a__994 1 -1 1 1.375
code__a__995 1 -0.75 -1 1.375
code__a__996 1 -0.75 -0.5 1.375
code__a__997 1 -0.75 0 1.375
code__a__998 1 -0.75 0.5 1.375
code__a__999 1 -0.75 1 1.375
code__a__1000 1 -0.5 -1 1.375
code__a__1001 1 -0.5 -0.5 1.375
code__a__1002 1 -0.5 0 1.375
code__a__1003 1 -0.5 0.5 1.375
code__a__1004 1 -0.5 1 1.375
code__a__1005 1 -0.25 -1 1.375
code__a__1006 1 -0.25 -0.5 1.375
code__a__1007 1 -0.25 0 1.375
code__a__1008 1 -0.25 0.5 1.375
code__a__1009 1 -0.25 1 1.375
code__a__1010 1 0 -1 1.375
code__a__1011 1 0 -0.5 1.375
code__a__1012 1 0 0 1.375
